price,rent,Apartement
700.0,rent,apartment
6000.0,rent,house
500.0,rent,apartment
1440.0,rent,house
540.0,rent,apartment
540.0,rent,apartment
840.0,rent,apartment
570.0,rent,apartment
1100.0,rent,apartment
600.0,rent,apartment
1080.0,rent,house
840.0,rent,house
1400.0,rent,apartment
780.0,rent,house
1020.0,rent,house
900.0,rent,house
900.0,rent,apartment
580.0,rent,house
660.0,rent,apartment
720.0,rent,apartment
960.0,rent,house
1320.0,rent,apartment
1080.0,rent,house
1440.0,rent,house
540.0,rent,apartment
1440.0,rent,house
720.0,rent,apartment
960.0,rent,apartment
1100.0,rent,house
1500.0,rent,apartment
600.0,rent,house
720.0,rent,apartment
860.0,rent,apartment
1200.0,rent,house
500.0,rent,apartment
780.0,rent,apartment
55000.0,rent,apartment
840.0,rent,house
1320.0,rent,house
2300.0,rent,apartment
960.0,rent,house
660.0,rent,apartment
1350.0,rent,house
2100.0,rent,apartment
1100.0,rent,house
1200.0,rent,apartment
600.0,rent,apartment
840.0,rent,apartment
600.0,rent,apartment
900.0,rent,house
900.0,rent,apartment
2000.0,rent,house
1440.0,rent,house
1100.0,rent,apartment
2760.0,rent,house
1680.0,rent,apartment
1200.0,rent,house
540.0,rent,apartment
900.0,rent,apartment
500.0,rent,apartment
840.0,rent,apartment
4000.0,rent,house
1320.0,rent,house
1200.0,rent,house
1200.0,rent,apartment
820.0,rent,apartment
900.0,rent,house
1400.0,rent,house
1440.0,rent,house
600.0,rent,apartment
3800.0,rent,PH
4000.0,rent,store
140000.0,rent,store
10500.0,rent,apartment
3800.0,rent,apartment
19000.0,rent,apartment
7000.0,rent,apartment
25000.0,rent,apartment
2300.0,rent,apartment
15000.0,rent,store
4800.0,rent,apartment
25000.0,rent,store
5500.0,rent,PH
3300.0,rent,apartment
2500.0,rent,apartment
2900.0,rent,apartment
40000.0,rent,store
4500.0,rent,store
11500.0,rent,store
100000.0,rent,store
100000.0,rent,store
2600.0,rent,apartment
6800.0,rent,store
10000.0,rent,store
49000.0,rent,store
5300.0,rent,apartment
49000.0,rent,store
20000.0,rent,apartment
16000.0,rent,apartment
13500.0,rent,apartment
2500.0,rent,apartment
18000.0,rent,house
25000.0,rent,store
20000.0,rent,apartment
85000.0,rent,store
8500.0,rent,apartment
3500.0,rent,apartment
32000.0,rent,apartment
32000.0,rent,store
27000.0,rent,apartment
6500.0,rent,apartment
15000.0,rent,store
8500.0,rent,store
1600.0,rent,apartment
10000.0,rent,store
4500.0,rent,apartment
11000.0,rent,apartment
27000.0,rent,apartment
48000.0,rent,store
